Count,Team,Win percentage,Rounded Wins,MilPerWin,Roster,26-man payroll,IL,Retained,Buried,Suspended,Overall
1,New York Mets,0.623,101,2842664.02,31,231062889,4155954,46947559,14468000,-,287109066
2,Los Angeles Dodgers,0.685,111,2527741.982,28,231003922,28920266,15097856,7040000,35333333,280579360
3,New York Yankees,0.611,99,2676103.03,30,214676803,25203665,24092094,9307500,-,264934200
4,Philadelphia Phillies,0.537,87,2946028.701,28,191757795,11897332,42765614,17478000,-,256304497
5,San Diego Padres,0.549,89,2721174.09,29,173934032,10925000,52201148,6304700,5714286,242184494
6,Boston Red Sox,0.481,78,2893294.179,26,110015310,50392677,62361335,7500000,-,225676946
7,Chicago White Sox,0.5,81,2652015.136,28,155928513,20008123,36914401,4911000,-,214813226
8,Atlanta Braves,0.623,101,1980870.812,28,142380980,24418726,27785054,13110000,-,200067952
9,Houston Astros,0.654,106,1831904.953,28,144964729,21550000,25531583,7031800,-,194181925
10,Los Angeles Angels,0.451,73,2643699.466,28,118104253,6978028,62880294,17590000,-,192990061
11,Toronto Blue Jays,0.568,92,2053209.457,29,141674814,25698159,19779308,7768000,-,188895270
12,San Francisco Giants,0.5,81,2137795.877,28,43246200,89082706,31360022,7983000,-,173161466
13,Chicago Cubs,0.457,74,2257685.635,28,83228504,44219852,36239459,9707000,-,167068737
14,Texas Rangers,0.42,68,2416697.735,28,101239086,13330822,44322329,9940000,-,164335446
15,St. Louis Cardinals,0.574,93,1765297.043,28,134723541,8750000,17314113,8786550,-,164172625
16,Minnesota Twins,0.481,78,2096816.128,25,70308186,58934173,33188430,5200000,-,163551658
17,Colorado Rockies,0.42,68,2336575.265,28,66960029,64172808,26708805,3520000,-,158887118
18,Detroit Tigers,0.407,66,2272599.818,27,105762860,13017207,28837063,7575000,-,149991588
19,Washington Nationals,0.34,55,2627686.091,28,58988509,40679307,43343124,6467700,-,144522735
20,Milwaukee Brewers,0.531,86,1668974.709,28,93743089,5763506,39310513,10541668,-,143531825
21,Seattle Mariners,0.556,90,1430115.633,28,86170908,9896644,27227033,10921600,-,128710407
22,Cincinnati Reds,0.383,62,2062561.629,27,22546012,61230258,42559983,6302500,-,127878821
23,Tampa Bay Rays,0.531,86,1242020.616,30,50869016,33372433,19926726,8193400,-,106813773
24,Arizona Diamondbacks,0.457,74,1442535.446,28,53510136,19424958,29783607,9395200,-,106747623
25,Kansas City Royals,0.401,65,1620703.246,28,62728828,6413200,34248010,9404000,-,105345711
26,Miami Marlins,0.426,69,1397359.739,28,49341980,21699362,23438007,7714500,-,96417822
27,Pittsburgh Pirates,0.383,62,1373311.806,28,30472503,8449026,32034138,12401800,-,85145332
28,Cleveland Guardians,0.568,92,891929.2609,28,56507878,702900,20199812,11412200,-,82057492
29,Baltimore Orioles,0.512,83,792426.3614,28,22045858,5709974,34141460,11940500,-,65771388
30,Oakland Athletics,0.37,60,1016960,28,15034323,6642582,35539727,10600000,-,61017600
,,,,,,,,,,,